id,asian_em,black_em,latino_em,white_em,asian_hm,black_hm,latino_hm,white_hm,participant_ethnic
10520141149,1,2,3,0,1,2,1,0,Latino
10520210026,0,0,1,2,3,0,1,3,Asian
10520299477,0,0,0,1,2,2,2,3,Black
10520301467,0,1,2,2,0,0,3,2,Latino
10520308927,0,4,2,0,0,2,1,1,Black
10520315660,0,1,1,1,0,1,4,2,Latino
10520315727,3,0,1,1,1,1,2,1,Latino
10520495627,1,0,1,3,1,1,1,2,Asian
10520520874,0,0,1,1,2,2,1,3,White
10520528312,1,2,1,1,2,2,0,1,White
10520582906,0,0,1,2,0,1,4,2,Latino
10520589085,0,0,1,0,2,2,3,2,Black
10520592697,0,5,1,0,0,2,2,0,Black
10520593726,1,3,2,1,0,0,2,1,Black
10520593864,1,0,4,1,0,0,2,2,Black
10520621084,1,1,2,0,1,2,3,0,Black
10520634605,0,0,2,1,1,2,2,2,Black
10520685276,0,1,1,1,0,2,4,1,Latino
10520867805,1,0,2,1,1,2,2,1,Black
10521009978,2,3,0,0,0,3,2,0,Black
10521056784,0,3,1,1,0,3,1,1,Black
10521059039,0,2,1,1,1,2,3,0,Other
10521078126,0,0,2,3,0,0,2,3,White
10521080610,1,0,2,1,1,2,1,2,Other
10521104257,0,3,3,1,0,1,2,0,Other
10521154042,0,0,1,0,2,3,3,1,Black
10521161116,4,1,0,1,2,1,0,1,Black
10521165605,1,0,0,4,1,0,1,3,Latino
10521531326,2,2,1,0,1,1,1,2,Other
10521537804,1,0,3,1,1,2,1,1,White
10521557957,0,0,2,3,1,1,1,2,Latino
10521558326,3,4,0,0,1,1,1,0,White
10521560767,1,0,3,3,0,1,2,0,White
10521561026,0,1,3,2,0,0,2,2,White
10521595635,0,1,1,0,1,2,4,1,White
10521642713,0,0,0,2,2,1,1,4,White
10521645764,0,4,2,0,0,3,1,0,Black
10522572840,0,0,1,2,2,0,2,3,White
10522706556,1,0,1,0,4,1,2,1,Other
10522777871,0,3,2,0,1,0,1,3,Black
10523031806,3,0,1,1,1,1,0,3,White
10523038107,0,0,0,2,1,1,3,3,Other
10523202837,0,0,0,2,2,0,2,4,Latino
10523283272,0,0,1,2,1,1,4,1,Asian
10523463522,1,0,1,3,1,0,1,3,Other
10523543784,1,0,2,2,1,0,1,3,Other
10523594952,0,0,2,0,1,2,3,2,Other
10523643696,0,1,2,0,3,2,0,2,White
10523739479,1,0,2,2,0,1,3,1,White
10523791317,0,0,1,2,0,1,3,3,White
10523798983,0,0,0,0,4,0,2,4,Asian
10523879610,0,0,0,2,1,1,3,3,White
10523883793,0,0,2,3,0,0,1,4,Other
10524010107,0,0,2,2,0,2,1,3,Other
10524061762,0,0,2,1,1,1,1,4,Black
10524094828,0,0,0,3,1,1,2,3,White
10524099300,1,0,0,2,3,0,2,2,Asian
10524125765,3,3,1,0,0,2,0,1,Black
10524126032,0,0,1,1,2,0,3,3,White
10524129368,0,0,2,2,0,1,2,3,White
10524154825,2,0,0,2,2,0,2,2,Latino
10524155311,1,1,2,2,1,0,1,2,Latino
10524166888,0,2,1,0,1,2,4,0,Other
10524174819,0,0,1,1,1,1,3,3,White
10524288820,1,0,1,3,0,0,2,3,White
10524292870,1,0,0,0,2,2,3,2,Latino
10524306063,0,0,1,0,3,0,3,3,White
10524366813,1,0,1,2,2,0,3,1,White
10524505929,0,0,2,3,0,0,2,3,White
10524723851,0,3,1,2,0,1,3,0,White
10525177870,0,1,1,3,1,2,2,0,White
10525187037,1,1,0,2,0,1,2,3,Latino
10525420827,1,3,1,1,0,3,1,0,Other
10525505670,0,3,1,0,0,3,3,0,Black
10525549309,0,0,1,1,1,1,3,3,Latino
10525953958,1,3,3,0,0,0,3,0,Other
10525987458,0,0,1,2,1,0,3,3,Latino
10526007343,0,3,0,0,1,3,1,2,Asian
10526017289,0,1,1,2,0,2,3,1,Other
10526145095,0,1,1,2,1,1,3,1,White
10526219427,0,2,2,0,0,2,3,1,Latino
10526241247,0,0,1,4,0,1,1,3,White
10526276487,0,0,2,2,1,1,3,1,Latino
10526277529,1,0,2,0,2,0,4,1,Asian
10526296100,0,0,1,2,2,0,1,4,Other
10526367602,1,1,0,3,0,2,1,2,Black
10526670937,0,0,2,4,0,0,1,3,White
10526678559,0,0,1,2,3,0,1,3,Asian
10527010341,1,1,3,1,0,1,3,0,Latino
10527894795,0,2,0,0,2,2,3,1,Latino
10528096497,0,0,1,2,1,0,4,2,Asian
10528204399,1,1,1,1,1,0,4,1,Latino
10528271612,0,0,1,1,2,1,2,3,Latino
10528330395,0,2,0,0,2,3,2,1,Other
10528849631,1,0,1,2,1,2,2,1,White
10529335085,0,3,1,0,0,3,3,0,Latino
10529359442,2,1,0,3,2,0,0,2,Other
10529366199,2,0,1,2,0,2,1,2,White
10529387466,0,0,1,3,0,1,1,4,Asian
10529401543,1,0,0,3,3,0,1,2,Latino
10529521723,2,1,1,2,0,2,0,2,White
10529691128,0,0,1,1,2,1,3,2,Other
10530513980,0,3,1,0,0,2,3,1,Latino
10530522628,1,0,0,2,2,0,3,2,Asian
10530576726,0,0,2,2,0,0,4,2,Latino
10530581073,0,0,0,1,3,1,2,3,Asian
10530638495,0,1,1,1,0,1,4,2,Latino
10530650155,1,0,1,1,3,0,1,3,Asian
10530812562,0,0,1,3,1,2,1,2,White
10531247456,0,0,1,2,0,3,1,3,White
10531435272,0,1,1,0,1,2,1,4,Asian
10531441213,2,0,0,3,1,0,0,4,Asian
10531447986,0,0,1,4,1,0,1,3,Asian
10531864397,2,1,1,1,1,1,2,1,Asian
10532030071,0,0,1,2,1,2,2,2,White
10532946899,0,0,1,3,1,0,2,3,Asian
10533126205,1,0,0,2,3,0,2,2,Asian
10533149612,0,2,2,2,1,1,1,1,Latino
10533161260,0,1,1,0,2,2,4,0,Black
10533174505,0,3,2,0,0,2,3,0,Latino
10533189980,0,0,1,1,1,1,3,3,Other
10533205766,0,0,2,2,1,0,2,3,Asian
10533221545,1,0,0,3,2,1,2,1,Asian
10533416759,0,0,0,2,2,0,3,3,Asian
10533457146,2,2,0,0,3,1,1,1,Asian
10533615222,0,0,1,0,2,1,2,4,Asian
10533621099,1,0,0,1,4,0,1,3,Asian
10533630062,0,1,1,2,2,0,3,1,Asian
10533732661,1,0,0,2,4,0,1,2,Asian
10533895439,0,0,1,0,3,0,3,3,Other
10533999175,0,2,2,2,1,1,1,1,Black
10534000065,2,0,1,2,2,1,2,0,Black
10534064528,1,2,2,1,0,0,2,2,White
10534066894,0,0,2,3,0,0,1,4,White
10534071634,0,0,2,3,0,1,1,3,White
10534092762,2,0,0,0,2,1,4,1,Black
10534131663,1,0,1,3,2,0,1,2,Other
10534145164,1,1,2,0,2,2,2,0,Black
10534496115,3,0,1,2,2,1,0,1,White
10534517518,1,1,1,3,0,2,1,1,White
10534532327,1,3,2,1,0,1,2,0,White
10534550299,0,0,0,3,2,0,1,4,White
10534561812,0,0,2,3,0,1,1,3,White
10534563891,0,0,0,0,3,1,3,3,White
10534570570,0,2,1,0,2,3,0,2,White
10534594930,1,0,1,2,0,2,1,3,White
10534641237,0,0,2,2,0,0,3,3,White
10534651295,0,0,2,1,1,0,2,4,Asian
10534691341,0,0,1,1,2,0,4,2,White
10534744759,1,0,0,2,1,2,3,1,White
10534767877,0,0,1,2,2,1,1,3,White
10535027674,3,0,0,2,3,1,0,1,White
10535091255,1,1,0,3,3,1,0,1,White
10535189737,0,0,1,2,0,1,3,3,Black
10535191329,3,2,1,2,1,0,0,1,White
10535404220,0,2,1,2,0,1,2,2,Other
10535556535,0,0,2,3,0,0,1,4,White
10535556612,0,1,1,2,0,2,1,3,Latino
10535580985,0,3,2,0,2,2,1,0,Black
10535584195,0,0,2,1,2,0,2,3,White
10535586233,1,0,1,3,0,0,1,4,White
10535596911,0,0,0,0,3,1,4,2,Black
10535597462,1,3,2,0,0,2,0,2,White
10535598206,0,0,1,2,0,1,4,2,Asian
10535601149,0,3,1,0,1,2,2,1,White
10535607863,0,0,1,2,0,1,2,4,White
10535622258,0,3,1,0,0,3,2,1,Black
10535742750,0,1,2,2,1,0,1,3,White
10535742804,3,0,0,1,4,0,0,2,White
10535763314,1,1,0,1,1,3,2,1,Black
10535792148,0,0,1,2,0,2,3,2,White
10535794228,1,1,2,0,3,1,2,0,Latino
10535804962,0,0,1,2,0,2,3,2,White
10535806391,0,0,3,0,2,0,2,3,Latino
10535812220,3,0,1,1,2,1,1,1,Latino
10535812706,0,2,2,0,2,1,2,1,White
10535814082,1,0,2,2,2,1,1,1,White
10535815536,1,0,1,1,1,1,4,1,White
10535831216,1,0,1,0,2,2,3,1,Latino
10535839017,0,1,0,1,2,3,1,2,White
10535861325,0,3,1,1,0,3,1,1,White
10535869321,4,1,0,1,1,1,1,1,Asian
10535870206,1,0,2,3,0,1,2,1,White
10535912576,2,1,2,2,0,0,1,2,Other
10535968279,0,3,2,1,0,1,1,2,White
10536036128,0,1,2,1,2,0,1,3,Asian
10536038956,0,0,2,3,0,0,2,3,White
10536310538,0,1,2,1,1,1,3,1,White
10537280430,1,1,2,2,1,1,0,2,Latino
10537460510,0,0,1,2,1,1,3,2,Other
10537519229,0,0,1,2,1,0,2,4,Asian
10537834907,0,0,1,2,0,2,3,2,Latino
10537837848,1,0,1,3,0,1,1,3,Latino
10537890495,1,0,2,2,0,0,1,4,White
10537906363,1,0,0,3,2,0,1,3,Latino
10538018257,0,1,1,2,1,0,2,3,Black
10538041767,1,1,1,0,1,1,2,3,White
10538213799,3,0,0,3,0,2,1,1,White
10538338166,0,3,1,0,0,3,2,1,Black
10538359694,0,2,1,1,0,2,4,0,White
10538728559,0,0,1,1,1,2,2,3,Other
10540267247,1,2,1,0,1,2,3,0,White
10543067318,0,1,4,0,1,0,2,2,Black
10543174131,0,0,1,3,1,0,3,2,White
10543179845,0,0,2,3,0,0,1,4,Latino
10543191916,1,0,2,1,1,1,2,2,White
10543479082,0,3,2,0,0,1,3,1,Other
10544371996,1,0,2,3,1,2,1,0,White
10544443872,1,0,0,2,0,1,3,3,White
10546610612,0,1,2,0,2,0,3,2,White
10546785763,1,0,0,3,1,0,2,3,Black
10546827251,2,1,1,1,1,1,3,0,White
10546829942,2,0,0,3,1,0,0,4,White
10546861327,3,0,0,2,1,0,0,4,Latino
10546869601,0,0,1,3,0,1,3,2,Black
10546971366,2,0,1,3,2,0,0,2,White
10546987820,3,0,3,2,0,0,1,1,White
10547276667,0,0,1,4,0,1,1,3,White
10548294858,0,1,1,2,0,2,3,1,White
10548298315,0,0,2,3,0,0,2,3,White
10548615211,1,3,2,1,0,1,0,2,Black
10548616250,0,1,1,2,1,1,1,3,White
10548622839,1,0,2,2,0,0,1,4,White
10548698886,0,1,1,2,1,2,2,1,White
10548734804,0,1,2,0,1,3,2,1,Other
10548914159,0,0,2,2,1,1,2,2,Black
10548959958,0,0,2,1,1,0,4,2,White
10550421253,0,3,1,0,0,2,2,2,Black
10550582294,2,1,1,1,3,1,1,0,White
10550597651,0,0,2,1,1,0,2,4,Latino
10550634579,2,0,2,4,0,1,0,1,White
10550681622,0,0,1,3,1,0,2,3,White
10550682379,2,0,1,1,2,0,3,1,Asian
10550707300,0,0,0,3,2,1,1,3,White
10550766856,0,2,1,0,0,2,2,3,Black
10550773491,0,0,2,2,0,0,2,4,Other
10550776349,2,0,0,3,1,0,0,4,Black
10550778848,4,0,0,2,1,1,0,2,White
10550778897,0,0,0,2,1,2,1,4,Black
10550779439,0,0,0,2,1,1,2,4,Latino
10550783519,1,0,3,3,0,0,1,2,Latino
10550786590,0,1,1,2,1,1,2,2,Other
10550792395,2,0,1,3,0,1,2,1,Other
10550843433,0,1,0,0,2,2,3,2,White
10550878607,1,1,1,1,2,0,2,2,Asian
10551324535,0,0,2,3,0,0,2,3,White
10551426544,0,0,2,2,0,0,3,3,Black
10551427956,1,0,0,0,4,0,3,2,White
10551587366,1,0,1,1,1,1,1,4,Other
10551604466,0,0,1,1,1,1,4,2,White
10551660340,0,0,0,0,3,1,3,3,White
10553140999,1,2,0,0,2,3,0,2,White
10553377571,3,0,1,3,0,1,0,2,Black
10553503672,0,0,1,0,5,1,0,3,Asian
10553581852,0,0,2,2,0,0,4,2,Other
10553732902,1,0,1,0,3,1,2,2,Other
10554206996,0,0,1,2,0,1,2,4,Other
10554537644,0,1,4,2,0,1,1,1,Other
10554770359,1,0,1,1,2,0,4,1,Latino
10554778918,1,1,1,2,0,0,2,3,Other
10554806551,0,0,2,1,0,1,2,4,White
10554807142,1,0,2,2,1,1,1,2,White
10554886851,0,0,1,2,2,1,0,4,White
10555979134,0,0,1,1,2,0,3,3,Black
10556076118,0,0,2,2,0,0,3,3,White
10557137408,0,2,4,0,1,2,0,1,Other
10557179809,0,1,3,1,1,1,2,1,Black
10557190664,0,3,3,0,1,1,2,0,Black
10557196935,0,0,0,1,2,2,1,4,Black
10557266095,1,0,1,2,0,1,1,4,White
10557621417,1,0,2,2,0,1,2,2,White
10557696204,0,1,1,1,0,1,3,3,White
10557730075,0,0,1,2,0,1,4,2,White
10557750461,0,1,1,1,0,1,3,3,Latino
10557759317,0,3,1,1,2,2,0,1,White
10557801073,0,1,1,2,0,1,1,4,White
10557853015,0,1,3,2,0,0,3,1,White
10558329096,1,1,1,0,2,1,2,2,Black
10558682104,0,1,1,0,1,2,3,2,White
10559014710,0,1,1,1,0,2,2,3,Latino
10559081276,1,0,3,3,0,1,1,1,Black
10559292306,2,2,2,0,1,2,0,1,White
10559695350,0,0,1,3,1,0,1,4,White
10559730353,0,0,2,2,0,0,2,4,Black
10559870153,0,0,4,2,0,0,1,3,White
10559904786,0,2,1,0,0,2,3,2,Black
10560030626,1,1,2,1,0,1,2,2,Black
10560328842,0,3,2,1,1,1,1,1,Other
10561310258,0,0,1,2,1,0,4,2,Latino
10561370135,0,0,1,3,1,0,2,3,White
10561486687,0,0,1,1,2,3,2,1,Other
10562671064,0,1,1,1,0,1,2,4,White
10563835707,0,0,1,3,1,0,1,4,Latino
10564264622,0,4,1,1,0,2,1,1,Black
10564564078,0,0,2,2,1,3,1,1,Latino
10564948425,0,0,1,3,1,0,2,3,Latino
10565055111,2,0,1,2,0,1,3,1,White
10565091197,0,0,3,2,0,1,2,2,Latino
10565201337,0,2,2,2,1,2,1,0,Black
10565357542,1,0,0,1,3,2,2,1,Latino
10565824890,0,1,3,1,1,1,2,1,Latino
10566035417,0,0,2,2,0,0,2,4,White
10566045552,1,0,2,4,0,0,1,2,Other
10566224464,0,1,4,0,1,1,2,1,Latino
10566340272,2,2,3,0,1,0,1,1,Latino
10566344307,0,0,1,0,2,2,3,2,Latino
10566510074,0,0,1,1,1,1,3,3,Latino
10567274516,0,0,1,2,0,2,2,3,White
10567309209,2,0,3,3,0,0,0,2,White
10567320758,2,1,1,1,2,1,0,2,Latino
10567329933,0,0,2,3,0,0,3,2,Latino
10567330186,0,0,2,0,2,1,3,2,Latino
10567332672,1,0,1,2,3,0,2,1,Latino
10567335547,2,0,2,2,1,1,1,1,Latino
10567341608,1,0,1,0,4,1,1,2,Latino
10567362177,1,2,1,1,1,1,1,2,Latino
10567371556,0,0,3,2,0,0,3,2,Other
10567414857,0,1,2,2,0,0,1,4,Latino
10567429878,1,0,3,1,3,1,0,1,Latino
10567457347,0,0,0,1,3,2,1,3,Latino
10567510501,1,0,0,2,1,1,1,4,Asian
10567514935,0,0,1,1,2,0,2,4,White
10567558561,0,2,1,0,1,2,3,1,Black
10567693647,0,0,2,3,0,0,1,4,Latino
10568684216,0,2,1,0,1,2,4,0,Black
10569093260,0,1,3,1,0,0,2,3,Other
10569139683,2,3,1,2,0,2,0,0,Black
10569277629,0,1,2,0,2,2,3,0,Black
10569918291,1,0,1,3,2,1,0,2,White
10570045078,0,0,0,3,1,1,2,3,Black
10570051710,3,2,1,2,2,0,0,0,Asian
10572104210,1,0,2,0,1,1,2,3,Asian
10572490685,0,2,1,0,1,3,2,1,Black
10572494298,0,1,1,1,0,2,4,1,White
10572609074,0,0,1,3,0,1,1,4,Black
10573093817,0,0,1,2,0,2,1,4,White
10574351860,1,0,0,3,1,0,2,3,Other
10574399154,0,2,1,1,1,2,1,2,Other
10574399961,3,3,4,0,0,0,0,0,Latino
10575178592,0,0,0,1,2,1,2,4,Black
10575564367,1,1,1,0,1,0,3,3,Black
10575582603,0,0,1,0,2,2,2,3,Black
10575786682,0,0,1,0,3,0,3,3,White
10575905406,2,1,1,1,2,0,2,1,White
10576459547,1,3,1,0,2,0,1,2,Black
10577121393,2,1,0,1,1,0,2,3,Asian
10577885592,0,1,1,1,1,3,2,1,Asian
10578286144,0,0,3,2,0,0,3,2,Asian
